Matrix_a[16][16]
        0         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15
  0	 0.097656  0.185669  0.430420  0.688477  0.205566  0.715820  0.089783  0.694336 -0.152710  0.247070  0.291748 -0.231201 -0.124817 -0.405029  0.783691 -0.886719
  1	 0.927246 -0.454590 -0.233154 -0.044678  0.583496  0.624512  0.057800 -0.040039  0.136108 -0.214478  0.851074  0.672363 -0.857910 -0.325195 -0.825684  0.296387
  2	-0.959473 -0.263428  0.665039  0.914551  0.556152 -0.719238  0.740234  0.740234  0.957031 -0.052795  0.598145  0.602051 -0.077026  0.040955  0.561035  0.357666
  3	-0.763672  0.441162  0.279785  0.164062 -0.713379  0.074768  0.889160  0.517090  0.043701 -0.788086 -0.170654 -0.052795 -0.470947 -0.627441  0.548340  0.473877
  4	-0.087708 -0.566895  0.136841 -0.729492 -0.962402 -0.351807  0.235229 -0.700684  0.224243 -0.555176  0.233887 -0.227051  0.887695  0.805176  0.363525 -0.100098
  5	-0.281006  0.226074 -0.125977  0.804688  0.395264 -0.801270 -0.879395  0.939453  0.333496  0.306396  0.341309 -0.658203 -0.579102 -0.283691 -0.742188  0.501465
  6	-0.369141  0.215698 -0.272461 -0.349854  0.140381 -0.923340 -0.122803  0.268555  0.976562  0.917969 -0.795898  0.305664 -0.582031  0.270020 -0.677246  0.990723
  7	 0.306152  0.163696 -0.493408 -0.171265 -0.067383 -0.050598 -0.511230  0.247070 -0.682129 -0.323975 -0.779297  0.349609  0.312744 -0.365479 -0.723633  0.556641
  8	-0.606934  0.898926 -0.262451  0.324951  0.642090 -0.972656 -0.805664  0.245728  0.675781  0.347412 -0.807617  0.943848  0.953125  0.756348 -0.062683  0.019241
  9	 0.953613 -0.888672  0.209717 -0.097656  0.478516 -0.959961 -0.921387 -0.116577 -0.434326  0.958984 -0.759766 -0.281006 -0.407715 -0.038208 -0.762695  0.377441
 10	-0.364014  0.760742 -0.171509  0.836426 -0.871582 -0.566406  0.385010  0.130371  0.133179  0.729980 -0.469238  0.017944  0.046509  0.833496 -0.812012  0.842285
 11	 0.151855 -0.833984  0.858398 -0.444580 -0.362793 -0.981445  0.334717  0.684570 -0.736328  0.294434  0.432617  0.682617 -0.421143 -0.470459 -0.633789 -0.204346
 12	 0.172974  0.105652 -0.959961 -0.669922  0.657715 -0.260498 -0.990723 -0.707031  0.355713  0.139282 -0.459961  0.407471  0.470459 -0.423096  0.924316 -0.133423
 13	-0.502441  0.512207  0.152344 -0.207764  0.184082  0.791992  0.144531  0.277832 -0.553711  0.783203  0.905273  0.360107 -0.105774 -0.101624  0.692871  0.957031
 14	 0.398926 -0.767578 -0.405029  0.534180  0.627441 -0.176392 -0.207031  0.350830  0.762207 -0.500488  0.162598 -0.373535  0.763672  0.930664  0.385010  0.176880
 15	 0.450439  0.319336  0.002649  0.066406  0.912109 -0.539062  0.288086 -0.210205 -0.152344  0.237671  0.212769 -0.050262 -0.961426 -0.059723 -0.396729  0.432129

Transpose Matrix_b [8][16]
        0         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15
  0	-0.166016 -0.706543 -0.206421 -0.591309 -0.165405  0.601562  0.752930 -0.660156  0.916016  0.373047  0.977539 -0.793457 -0.424561 -0.576660  0.148193 -0.795410
  1	 0.994141 -0.527832  0.871094 -0.113098 -0.085571  0.431885  0.729980 -0.881348 -0.176392  0.566406  0.321289 -0.853516 -0.761230  0.820801  0.227905  0.066895
  2	 0.440674 -0.815430  0.077637  0.756348  0.117371  0.936523  0.789062  0.756348  0.066345  0.669434  0.496338 -0.104187 -0.739746 -0.468994 -0.706543 -0.171875
  3	 0.865234 -0.206787  0.692383 -0.541016 -0.138550  0.605469  0.658203  0.341064 -0.604980 -0.174927 -0.403076 -0.061523  0.049591 -0.402100  0.913086  0.899902
  4	-1.000000 -0.627441 -0.161621 -0.945312 -0.719238 -0.373047 -0.830078 -0.803223  0.383789 -0.963379 -0.439209  0.817383 -0.961426 -0.016861  0.178589  0.388916
  5	-0.743652 -0.224121 -0.373535  0.068848  0.878418 -0.814453  0.659180  0.186157 -0.420654 -0.931641 -0.107727 -0.807617 -0.832520  0.168823 -0.478027 -0.013878
  6	-0.395264 -0.308838  0.370361  0.340820 -0.604004  0.384766 -0.921875 -0.157837 -0.368896  0.500488  0.578613 -0.412842  0.357666 -0.893066  0.399414 -0.171631
  7	 0.998047  0.339600  0.049103  0.828125  0.556641  0.036316 -0.453857  0.343262 -0.715820  0.248047 -0.555664  0.806641  0.833496  0.131836 -0.538086  0.081177
